Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Constituency,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Constituency Code,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code,Average Income,Sewage Company,Travel To Work Area,ITL level 2,ITL level 3,UPRNs,Distance to sea
BN3 1AA,No,50.825313,-0.157571,529863,104481,TQ298044,"East Sussex","Brighton and Hove","Brunswick and Adelaide",E06000043,E05002420,England,E10000011,"Hove",1980-01-01,2017-01-01,"Brighton and Hove, unparished area","",,,"Brighton and Hove","Brighton and Hove","Brighton and Hove 029B","Urban city and town",South East,22,,E01016851,,E02003519,"Brunswick",E43000034,E00085020,E14000755,21843,1,1,2022-02-23,"Brighton",1.21475,BN,BN3,"Sussex","Southern Water",9C2XRRGR+4X,45000,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","",0.924373
BN3 1AB,No,50.834409,-0.168063,529099,105474,TQ290054,"East Sussex","Brighton and Hove","Goldsmid",E06000043,E05002423,England,E10000011,"Hove",2003-06-01,2006-04-01,"Brighton and Hove, unparished area","",,,"Brighton and Hove","Brighton and Hove","Brighton and Hove 019D","Urban city and town",South East,29,,E01016873,,E02003509,"Goldsmid West",E43000034,E00085160,E14000755,7959,1,1,2022-02-23,"Hove",0.204795,BN,BN3,"Sussex","",9C2XRRMJ+QQ,44000,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","",1.73764
BN3 1AD,No,50.834409,-0.168063,529099,105474,TQ290054,"East Sussex","Brighton and Hove","Goldsmid",E06000043,E05002423,England,E10000011,"Hove",2001-06-01,2003-06-01,"Brighton and Hove, unparished area","",,,"Brighton and Hove","Brighton and Hove","Brighton and Hove 019D","Urban city and town",South East,29,,E01016873,,E02003509,"Goldsmid West",E43000034,E00085160,E14000755,7959,1,1,2022-02-23,"Hove",0.204795,BN,BN3,"Sussex","",9C2XRRMJ+QQ,44000,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","",1.73764
BN3 1AE,Yes,50.825193,-0.156199,529960,104470,TQ299044,"East Sussex","Brighton and Hove","Brunswick and Adelaide",E06000043,E05002420,England,E10000011,"Hove",1980-01-01,,"Brighton and Hove, unparished area","",33,17,"Brighton and Hove","Brighton and Hove","Brighton and Hove 029A","Urban city and town",South East,24,,E01016850,,E02003519,"Brunswick",E43000034,E00085003,E14000755,19414,1,0,2022-02-23,"Brighton",1.1295,BN,BN3,"Sussex","Southern Water",9C2XRRGV+3G,45000,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","22031551,22031709,22031710,22031711,22031712,22031713,22031714,22031715,22031716,22031717,22031720,22031721,22031722,22032311,22033440,22033904,22033905,22034088,22034229,22034233,22050521,22159698,22159699,22159700,22159701,22159703,22171876,22171877,22171878,22171879,22171880,22171881,22183124,22200043,22206994,22214386,22220429,22220431,22221413,22222566,22222567,22222568,22222569,22223673,22225140,22225141,22226144,22226283,22233630,22238388,22239179,22239180,22239181,22239182,22239183,22239184,22239185,22242112,22242113,22242159,22242160,22242161,22245550,22247629,22248665,22258116,22258117,22258118,22258119,22258137,22258138,22258174,22258179,22258429,22260084,22262405,22262406,22263423,22265864,22274148",0.934604
BN3 1AF,Yes,50.825497,-0.158387,529805,104500,TQ298044,"East Sussex","Brighton and Hove","Brunswick and Adelaide",E06000043,E05002420,England,E10000011,"Hove",1980-01-01,,"Brighton and Hove, unparished area","",28,12,"Brighton and Hove","Brighton and Hove","Brighton and Hove 029B","Urban city and town",South East,21,,E01016851,,E02003519,"Brunswick",E43000034,E00085020,E14000755,21843,1,0,2022-02-23,"Brighton",1.26235,BN,BN3,"Sussex","Southern Water",9C2XRRGR+5J,45000,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","22031450,22031473,22031555,22031723,22031724,22031725,22031726,22031727,22031728,22031729,22031730,22031731,22032313,22032314,22033792,22033793,22033841,22034208,22132440,22143470,22160656,22171883,22171884,22171885,22171888,22171889,22171890,22173333,22173464,22173505,22183127,22183128,22200048,22200067,22200069,22205427,22206083,22209120,22220434,22220435,22222570,22222571,22222572,22222573,22223157,22224324,22235954,22236455,22236456,22246923,22246931,22246932,22246933,22249224,22249424,22249428,22249438,22249593,22249622,22249623,22249624,22249625,22249626,22249627,22249628,22249629,22253642,22257672,22257869,22257870,22257871,22257872,22258175,22259313,22259314,22259315,22259316,22260094",0.930565
BN3 1AG,Yes,50.824790,-0.155732,529994,104426,TQ299044,"East Sussex","Brighton and Hove","Brunswick and Adelaide",E06000043,E05002420,England,E10000011,"Hove",1980-01-01,,"Brighton and Hove, unparished area","",41,16,"Brighton and Hove","Brighton and Hove","Brighton and Hove 029A","Urban city and town",South East,23,,E01016850,,E02003519,"Brunswick",E43000034,E00085022,E14000755,19414,1,0,2022-02-23,"Brighton",1.1172,BN,BN3,"Sussex","Southern Water",9C2XRRFV+WP,45000,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","22032315,22032316,22032317,22033441,22033647,22034002,22170987,22239613,22239614,22239615,22239616,22239617,22239618",0.898609
BN3 1AH,Yes,50.823997,-0.156799,529921,104336,TQ299043,"East Sussex","Brighton and Hove","Brunswick and Adelaide",E06000043,E05002420,England,E10000011,"Hove",1980-01-01,,"Brighton and Hove, unparished area","",111,65,"Brighton and Hove","Brighton and Hove","Brighton and Hove 029A","Urban city and town",South East,14,,E01016850,,E02003519,"Brunswick",E43000034,E00085026,E14000755,19414,1,0,2022-02-23,"Brighton",1.2231,BN,BN3,"Sussex","Southern Water",9C2XRRFV+H7,45000,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","22031496,22031497,22031498,22031499,22031500,22031732,22031733,22031734,22031735,22031736,22031737,22031738,22031739,22031740,22031741,22031742,22031743,22031744,22031745,22031746,22031747,22032318,22033374,22033560,22034004,22034172,22034174,22034209,22143025,22143027,22143028,22143029,22143030,22143031,22143033,22143034,22143036,22143037,22143038,22143039,22143040,22143041,22143042,22143043,22143044,22143045,22143046,22143047,22143048,22143049,22143050,22143051,22143052,22143053,22143054,22143055,22143056,22143059,22143060,22143061,22143062,22143063,22143064,22143065,22159673,22159674,22159675,22159676,22159677,22159683,22159689,22159690,22159692,22159695,22182938,22182944,22182949,22199856,22199893,22205700,22205701,22205702,22220440,22221156,22221157,22221158,22221159,22221160,22224403,22225169,22226355,22229631,22236250",0.794035
BN3 1AJ,Yes,50.824671,-0.156177,529963,104412,TQ299044,"East Sussex","Brighton and Hove","Brunswick and Adelaide",E06000043,E05002420,England,E10000011,"Hove",1980-01-01,,"Brighton and Hove, unparished area","",53,23,"Brighton and Hove","Brighton and Hove","Brighton and Hove 029A","Urban city and town",South East,20,,E01016850,,E02003519,"Brunswick",E43000034,E00085022,E14000755,19414,1,0,2022-02-23,"Brighton",1.1511,BN,BN3,"Sussex","Southern Water",9C2XRRFV+VG,45000,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","22031748,22031749,22031750,22031751,22031752,22031753,22031754,22031755,22031756,22031757,22031758,22031759,22031760,22031761,22031762,22031763,22031764,22034090,22034091,22134658,22134659,22134660,22170986,22187306,22190362,22201164,22204738,22204739,22215917,22261140,22261141,22264736,22264737,22264738,22264739",0.878075
BN3 1AL,Yes,50.824958,-0.156151,529964,104444,TQ299044,"East Sussex","Brighton and Hove","Brunswick and Adelaide",E06000043,E05002420,England,E10000011,"Hove",1980-01-01,,"Brighton and Hove, unparished area","",40,24,"Brighton and Hove","Brighton and Hove","Brighton and Hove 029A","Urban city and town",South East,22,,E01016850,,E02003519,"Brunswick",E43000034,E00085022,E14000755,19414,1,0,2022-02-23,"Brighton",1.13646,BN,BN3,"Sussex","Southern Water",9C2XRRFV+XG,45000,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","22031765,22031766,22031767,22031768,22031769,22031770,22032320,22033559,22034261,22135313,22135314,22135315,22135316,22135317,22135318,22135319,22213228,22215919,22224721,22238114,22238115,22238116,22238117,22238118,22238119,22238120,22238121,22238122",0.909803
BN3 1AN,Yes,50.824817,-0.156895,529912,104427,TQ299044,"East Sussex","Brighton and Hove","Brunswick and Adelaide",E06000043,E05002420,England,E10000011,"Hove",1980-01-01,,"Brighton and Hove, unparished area","",119,71,"Brighton and Hove","Brighton and Hove","Brighton and Hove 029A","Urban city and town",South East,20,,E01016850,,E02003519,"Brunswick",E43000034,E00085003,E14000755,19414,1,0,2022-02-23,"Brighton",1.19063,BN,BN3,"Sussex","Southern Water",9C2XRRFV+W6,45000,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","22031481,22031482,22031501,22031771,22031772,22031773,22031774,22031775,22031776,22031777,22031778,22031779,22031780,22031781,22031782,22031783,22031784,22032321,22032322,22034104,22142871,22142933,22142934,22142935,22142936,22142937,22142942,22142944,22142945,22142946,22142947,22142949,22142950,22142951,22142952,22142953,22142954,22142955,22142956,22142957,22142958,22142959,22142960,22142965,22142970,22142972,22142974,22142975,22142976,22142982,22142983,22142984,22142985,22142987,22142988,22142990,22142992,22142993,22142994,22142995,22142996,22142998,22142999,22159632,22159635,22159636,22159637,22159638,22159643,22159644,22159657,22159662,22159669,22171647,22171648,22199906,22205729,22205731,22205732,22205733,22205734,22206355,22206357,22206358,22206359,22206363,22206364,22209021,22209022,22209023,22209993,22215915,22220281,22220309,22220310,22223123,22223124,22224537,22234213,22255855,22257756,22259722,22259723,10015453450",0.881791
